review_id,content,sentiment_label,sentiment_score,bank,themes,spacy_keywords,processed_text
0,very good app,positive,0.9099999999999999,Commercial Bank of Ethiopia,['Other'],"['good', 'app']",good app
1,excellent,positive,1.0,Commercial Bank of Ethiopia,['Other'],['excellent'],excellent
2,good,positive,0.7,Commercial Bank of Ethiopia,['Other'],['good'],good
3,CBE ይለያል።,neutral,0.0,Commercial Bank of Ethiopia,['Other'],[],cbe
4,it's special for me,positive,0.35714285714285715,Commercial Bank of Ethiopia,['Other'],['special'],special
5,Make it user friendly.,positive,0.375,Commercial Bank of Ethiopia,['Other'],"['user', 'friendly']",user friendly
6,maaliif daddafee install gaafata,neutral,0.0,Commercial Bank of Ethiopia,['Other'],"['daddafee', 'install', 'gaafata']",maaliif daddafee install gaafata
7,good app,positive,0.7,Commercial Bank of Ethiopia,['Other'],"['good', 'app']",good app
8,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,positive,0.52,Commercial Bank of Ethiopia,['Transaction Performance'],"['application', 'important', 'advantage', 'transfer', 'money', 'finance', 'coutry', 'foriegn', 'country']",application important advantage transfer money finance coutry foriegn country
9,why didn't work this app?,neutral,0.0,Commercial Bank of Ethiopia,['Other'],"['work', 'app']",work app
10,The app makes our life easier. Thank you CBE!,neutral,0.0,Commercial Bank of Ethiopia,['Other'],"['app', 'life', 'easy', 'thank', 'cbe']",app make life easy thank cbe
11,this app very bad 👎,negative,-0.9099999999999998,Commercial Bank of Ethiopia,['Other'],"['app', 'bad']",app bad
12,the most advanced app. but how to stay safe?,positive,0.4666666666666666,Commercial Bank of Ethiopia,['Other'],"['advanced', 'app', 'stay', 'safe']",advanced app stay safe
13,Good application,positive,0.7,Commercial Bank of Ethiopia,['Other'],"['good', 'application']",good application
14,It is nice app,positive,0.6,Commercial Bank of Ethiopia,['Other'],"['nice', 'app']",nice app
15,best,positive,1.0,Commercial Bank of Ethiopia,['Other'],[],well
16,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",neutral,-0.00234375,Commercial Bank of Ethiopia,['Other'],"['ask', 'enter', 'verification', 'key', 'receive', 'verification', 'key', 'expect', 'near', 'manage', 'bank', 'account']",suddenly ask enter verification key receive verification key near cbe branch australia expect nearest furthermost cbe branch frustrating manage bank account
17,thanks blc this app help me to use all time,positive,0.2,Commercial Bank of Ethiopia,['Customer Support'],"['thank', 'blc', 'help', 'use', 'time']",thank blc app help use time
18,why we can't send money to other people telebirr wallets??,negative,-0.125,Commercial Bank of Ethiopia,['Other'],"['send', 'money', 'people', 'telebirr', 'wallet']",send money people telebirr wallet
19,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,neutral,0.0,Commercial Bank of Ethiopia,['Other'],[],አታፍሩም ግን birr ብር ስትቆርጡ ይስተካከልልን
20,በጣም ቀላልና ምቹ ነው።,neutral,0.0,Commercial Bank of Ethiopia,['Other'],['ምቹ'],በጣም ቀላልና ምቹ
