review_id,review_text,sentiment_label,sentiment_score,identified_theme(s)
0,very good app,positive,0.9099999999999999,Uncategorized
1,excellent,positive,1.0,Uncategorized
2,good,positive,0.7,Uncategorized
3,CBE ይለያል።,neutral,0.0,Uncategorized
4,it's special for me,positive,0.35714285714285715,Uncategorized
5,Make it user friendly.,positive,0.375,Uncategorized
6,maaliif daddafee install gaafata,neutral,0.0,Uncategorized
7,good app,positive,0.7,Uncategorized
8,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,positive,0.52,Transaction Performance
9,why didn't work this app?,neutral,0.0,Uncategorized
10,The app makes our life easier. Thank you CBE!,neutral,0.0,Uncategorized
11,this app very bad 👎,negative,-0.9099999999999998,Uncategorized
12,the most advanced app. but how to stay safe?,positive,0.4666666666666666,Uncategorized
13,Good application,positive,0.7,Uncategorized
14,It is nice app,positive,0.6,Uncategorized
15,best,positive,1.0,Uncategorized
16,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",neutral,-0.00234375,Uncategorized
17,thanks blc this app help me to use all time,positive,0.2,Customer Support
18,why we can't send money to other people telebirr wallets??,negative,-0.125,Uncategorized
19,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,neutral,0.0,Uncategorized
20,በጣም ቀላልና ምቹ ነው።,neutral,0.0,Uncategorized
21,wow,positive,0.1,Uncategorized
22,nice,positive,0.6,Uncategorized
23,you are the reason why i got ye chogara himem,neutral,0.0,Uncategorized
24,it is so smart app i recommend it for everyone,positive,0.21428571428571427,Uncategorized
25,absolutely right,positive,0.2857142857142857,Uncategorized
26,mid application it's so annoying,negative,-0.4,Uncategorized
27,I used morethan one year,neutral,0.0,Uncategorized
28,no word can explane about this app it is nice 👍👍👍👍👍,positive,0.6,Uncategorized
29,"It's great app,I love this app",positive,0.65,Uncategorized
30,suckkkks,neutral,0.0,Uncategorized
31,not allowing to transfer and showing current statement updates.,neutral,0.0,Transaction Performance
32,I love you this app,positive,0.5,Uncategorized
33,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",positive,0.3666666666666667,Feature Requests
34,make life easy,positive,0.43333333333333335,Uncategorized
35,securr,neutral,0.0,Uncategorized
36,My most optional bank,positive,0.5,Uncategorized
37,5 star,neutral,0.0,Uncategorized
38,it is fantastic app.,positive,0.4,Uncategorized
39,sifen,neutral,0.0,Uncategorized
40,i like this√,neutral,0.0,Uncategorized
41,Ok,positive,0.5,Uncategorized
42,ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,neutral,0.0,Account Access Issues
